id1,id2,n_segments,total_shared_cm,max_segment_cm,mean_segment_cm,mean_lod,max_lod
HG01048,HG01064,1,0.555,0.555,0.555,12.69,12.69
HG01052,NA12828,1,0.754,0.754,0.754,35.85,35.85
HG01055,HG01073,1,0.611,0.611,0.611,18.82,18.82
HG01061,HG01098,1,0.565,0.565,0.565,55.48,55.48
HG01061,HG01167,1,0.616,0.616,0.616,65.43,65.43
HG01066,HG01198,1,0.57,0.57,0.57,17.1,17.1
HG01073,HG01187,2,1.216,0.708,0.608,18.915,30.95
HG01098,HG01167,1,0.586,0.586,0.586,63.79,63.79
HG01098,HG01191,1,0.517,0.517,0.517,15.11,15.11
HG01171,HG01177,1,0.506,0.506,0.506,15.57,15.57
HG01187,HG01188,1,0.531,0.531,0.531,12.74,12.74
HG01251,HG01345,1,0.526,0.526,0.526,17.38,17.38
HG01251,HG02536,1,0.63,0.63,0.63,15.59,15.59
HG01305,NA19042,1,0.6,0.6,0.6,34.49,34.49
HG01354,NA19773,1,0.521,0.521,0.521,26.53,26.53
HG01488,HG01676,1,0.59,0.59,0.59,22.21,22.21
HG01631,NA20892,1,0.514,0.514,0.514,5.98,5.98
HG01807,HG01858,1,0.515,0.515,0.515,8.33,8.33
HG01847,HG02023,1,0.677,0.677,0.677,19.39,19.39
HG01885,NA19175,1,0.514,0.514,0.514,17.41,17.41
HG01894,HG02337,1,0.707,0.707,0.707,53.1,53.1
HG01896,HG02325,1,0.561,0.561,0.561,32.31,32.31
HG02031,HG02166,1,0.51,0.51,0.51,8.78,8.78
HG02121,HG02522,1,0.52,0.52,0.52,31.15,31.15
HG02166,HG02364,1,0.509,0.509,0.509,18.22,18.22
HG02166,HG02373,1,0.584,0.584,0.584,17.43,17.43
HG02182,HG02364,1,0.823,0.823,0.823,21.58,21.58
HG02220,HG02235,1,0.69,0.69,0.69,17.52,17.52
HG02371,HG02399,1,0.531,0.531,0.531,29.46,29.46
HG02427,NA19310,1,0.568,0.568,0.568,18.55,18.55
HG02502,NA19235,1,0.668,0.668,0.668,39.44,39.44
HG02971,HG03267,1,0.526,0.526,0.526,25.4,25.4
HG03069,HG03419,1,0.55,0.55,0.55,29.35,29.35
HG03105,HG03366,1,0.543,0.543,0.543,25.39,25.39
HG03352,HG03366,1,0.527,0.527,0.527,5.14,5.14
HG03363,NA19153,1,0.594,0.594,0.594,25.33,25.33
HG03363,NA19190,1,0.524,0.524,0.524,32.16,32.16
HG03366,NA19456,1,0.506,0.506,0.506,27.74,27.74
HG03378,NA19909,1,0.567,0.567,0.567,29.23,29.23
HG03419,NA19117,1,0.532,0.532,0.532,22.56,22.56
HG03672,HG03836,1,0.533,0.533,0.533,22.04,22.04
HG03711,HG04035,1,0.628,0.628,0.628,21.76,21.76
HG03773,HG03785,1,0.546,0.546,0.546,61.26,61.26
HG03846,HG03886,1,0.677,0.677,0.677,18.31,18.31
HG03850,HG04153,1,0.526,0.526,0.526,8.53,8.53
NA11893,NA12814,1,0.517,0.517,0.517,1.0,1.0
NA12045,NA12046,3,1.76,0.693,0.5866666666666667,33.93333333333333,56.24
NA18876,NA19397,1,0.51,0.51,0.51,27.09,27.09
NA18876,NA19399,1,0.508,0.508,0.508,48.54,48.54
NA18924,NA19448,1,0.502,0.502,0.502,34.75,34.75
NA19017,NA19372,1,0.637,0.637,0.637,26.58,26.58
NA19017,NA19467,1,0.508,0.508,0.508,25.23,25.23
NA19027,NA19350,1,0.569,0.569,0.569,36.34,36.34
NA19028,NA19350,1,0.587,0.587,0.587,69.25,69.25
NA19036,NA19327,1,0.533,0.533,0.533,22.65,22.65
NA19042,NA19113,1,0.506,0.506,0.506,12.05,12.05
NA19092,NA19399,1,0.517,0.517,0.517,82.18,82.18
NA19309,NA19350,1,0.516,0.516,0.516,54.03,54.03
NA19312,NA19438,1,0.568,0.568,0.568,54.41,54.41
NA19331,NA19334,3,1.7469999999999999,0.613,0.5823333333333333,74.48666666666666,103.32
NA19379,NA19446,1,0.61,0.61,0.61,51.86,51.86
NA19384,NA19446,1,0.51,0.51,0.51,26.14,26.14
NA19399,NA19438,1,0.619,0.619,0.619,80.43,80.43
NA20508,NA20754,1,0.516,0.516,0.516,10.71,10.71
NA20849,NA21128,1,0.745,0.745,0.745,51.31,51.31
NA20891,NA20900,4,2.326,0.638,0.5815,26.189999999999998,38.67
NA21101,NA21128,1,0.543,0.543,0.543,18.28,18.28
NA21109,NA21117,1,0.513,0.513,0.513,15.86,15.86
